N_size,fwhm_val,G_fit,S_fit,H_fit,error
512,10,2.4724077358533925,28.32132126238292,0.9899999999999999,
512,15,1.8095939501061635,15.992180575860056,0.989999999999382,
512,20,1.915982483416981,12.887022100256832,0.9899999999999999,
512,25,1.9260667002038097,10.270736715833479,0.9899999999297006,
512,30,2.0291128403649363,8.267367358947766,0.9432965713986554,
512,35,2.016558465748047,7.3399866829607525,0.98999999999963,
512,40,2.0712789466958133,6.800885047843868,0.9899338497245551,
512,50,1.9275964472952414,5.148018560283548,0.9899999999999999,
