N_size,fwhm_val,G_fit,S_fit,H_fit,error
256,10,2.249245528663141,12.522959721746032,0.9899999999999998,
256,15,1.8935011260492096,8.314942070518597,0.9899999999999999,
256,20,2.014356116337032,6.297336969347108,0.9613061401613888,
256,25,2.1561896194634333,4.982794628929884,0.8974830456715436,
256,30,2.0300560393961438,4.3502057379762915,0.9899999999999999,
256,35,2.005853344701472,3.731174136649037,0.9899999999999999,
256,40,2.0126292239680414,3.2550185473055806,0.9899999999999999,
256,50,2.0146798402122936,2.6777227730493967,0.9804917138268069,
